Company,Category,ex-Nokian,Funding,Funding_dollar,Valuation,Core_dummy,experience,M&A,Founded,Revenue,,,,,,,,,,,,,,
Varaani Works,SW,Juha Kaario,"€ 270,000","297,000 ",€684000-€1m,0,Marketing Management,,2010,,,,,,,,,,,,,,,
Runteq,Manufacturing,Tommi Ojala,"€ 270,000 ","297,000 ",€160k - €240k,1,Product Owner,,2012,,,,,,,,,,,,,,,
Tellyo,SW,"Justyna Kowalska, Kimmo Koivisto","€ 200,000","220,000 ",€800000-€1m,1,Senior Research Engineer,,2012,,,,,,,,,,,,,,,
switchedOn,SW,Jason Collins,"€ 190,000 ","209,000 ",SGD1m - SGD2m,0,VP IoT Marketing,,2014,,,,,,,,,,,,,,,
Bitdeli,SW,Ville Tuulos,"€ 190,000 ","209,000 ",$840k - $1m,0,Research Team Lead - Data Insight,,2011,,,,,,,,,,,,,,,
Oikian,SW,Mikko Lietsalmi,"€ 140,000 ","154,000 ",€560k - €840k,1,technology strategy lead,,2011,,,,,,,,,,,,,,,
Me2we,SW,Jussi Mäkinen,"€ 100,000 ","110,000 ",€384k - €576k,0,Marketing,,2013,,,,,,,,,,,,,,,
Quiske,"Apps, Service Industry, Sports",Kristina Björnäs,"€ 71,400","78,540 ",,0,Marketing Manager,,2016,,,,,,,,,,,,,,,
Sumo Insight Ltd,SW,Tina Newport,"€ 70,000 ","77,000 ",£240k - £360k,0,Senior Marketing Manager,,2012,,,,,,,,,,,,,,,
Lyla Beauty,ecommerce,Mike Steele,"€ 30,000 ","33,000 ",$120k - $180k,0,Project Manager,,,,,,,,,,,,,,,,,
Remedy,game,,,,,,,,,,,,,,,,,,,,,,,
TreLab,Electronics,"Kimmo Saarela, Tero Kärkkäinen, Harri Koskinen, Petri Karhula",,,,,,,2011,,,,,,,,,,,,,,,
Casambi Technologies,manufacturing(lighting),Timo Pakkala,,,,,,,2011,"3,770,000 €  (2018)",,,,,,,,,,,,,,
Anaxeos,manufacturing(pet vest),Toni Koutu,,,,,,,2016,,,,,,,,,,,,,,,
Team Action Zone,tech(SW),Kari Laurila,,,,,,,,,,,,,,,,,,,,,,
Adaia,tech(HW),,,,,,,,,,,,,,,,,,,,,,,
Mobile Brain Bank,"Mobile, Software, Telecommunications","Petra Soderling, Sari Paivarinta",,,,,,,,,,,,,,,,,,,,,,
Avanto Network,,,,,,,,,,,,,,,,,,,,,,,,
Cloudberrytec,,,,,,,,,,,,,,,,,,,,,,,,
Haystacks.eu,,,,,,,,,,,,,,,,,,,,,,,,
Absolute validation,,,,,,,,,,,,,,,,,,,,,,,,
Decode Global,"Education, Gaming, Software",,,,,,,,,,,,,,,,,,,,,,,
Pebble Audio,tech(HW),Harris Wallenius,,,,,,,,,,,,,,,,,,,,,,
Gajatri Studios,"Fitness, Gaming, Mobile",Tiina Zilliacus,,,,,,,2011,,,,,,,,,,,,,,,
Spektikor,"Clinical Trials, Medical",Kari Kivisto,,,,,,,,,,,,,,,,,,,,,,
Sopima,"Information Technology, Internet, Software",,,,,,,softability group oy,2009,,,,,,,,,,,,,,,
Founder2be,,Wolfgang Bremer,,,,,,,,,,,,,,,,,,,,,,
Digital Goodie,,Samuli Mattila,,,,,,,2009,,,,,,,,,,,,,,,
Wantlet,SW,"Kristian Luoma, Petri Liimatta",,,,,,,,,,,,,,,,,,,,,,
Fambit,SW,"Pertti Kasanen, Markku Ranta",,,,0,senior experts in Internet and mobile communications,,2009,,,,,,,,,,,,,,,
in2PR,,Hanna Manninen,,,,,,,,,,,,,,,,,,,,,,
Futureful,,Marko Anderson,,,,,,,,,,,,,,,,,,,,,,
Cluetail,,Jos Schuurmans,,,,,,,,,,,,,,,,,,,,,,
Newelo & Bjong,,Kari Laurila,,,,,,,,,,,,,,,,,,,,,,
Saagatec,,Heikki Ailinpieti,,,,,,,,,,,,,,,,,,,,,,
Osumus Recommendations,,JP Salmenkaita,,,,,,,,,,,,,,,,,,,,,,
GreyCrunch,,Harri Honko,,,,,,,,,,,,,,,,,,,,,,
Sfonge,,Yasin Hamed,,,,,,,,,,,,,,,,,,,,,,
Notava,,Risto Suoranta,,,,,,,,,,,,,,,,,,,,,,
Eliademy,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
boundary condition 생각해보기(moderator) p -> p,,,,,,,,,,,,,,,,,,,,,,,,
